"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"343","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",51610,NA,"1/23/09","11/2/12","1/23/09","11/2/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"344","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",49941.12,NA,"2/3/09","4/13/11","2/3/09","5/29/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS"
"345","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",1955502.6,NA,"2/5/09","4/15/11","2/5/09","6/30/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNIITON NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS, DISTRIBUTION LIST TO FOLLOW."
"346","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",3679.92,NA,"3/12/09","4/13/11","3/12/09","5/15/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"347","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",316266.08,NA,"3/20/09","11/2/12","3/20/09","11/2/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS"
"348","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",26986.08,NA,"3/20/09","4/13/11","3/20/09","5/29/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, DISTRIBUTION LIST TO BE PROVIDED UPON LOT SAMPLE APPROVAL."
"349","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",74236.8,NA,"4/23/09","4/14/11","4/23/09","5/29/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, - DISTRIBUTION LIST TO BE PROVIDED UPON LOST SAMPLE APPROVAL."
"350","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",46566.72,NA,"5/19/09","4/13/11","5/19/09","1/6/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON SAMPLE LOT APPROVAL."
"351","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",11560.64,NA,"5/19/09","11/2/12","5/19/09","11/2/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON SAMPLE LOT APPROVAL."
"352","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",0,NA,"6/4/09","11/2/12","6/4/09","11/2/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"353","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",365538.72,NA,"6/4/09","5/19/11","6/4/09","8/31/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS."
"354","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",2587779.1,NA,"6/5/09","4/15/11","6/5/09","8/31/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING,  AND OPERATIONS."
"355","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",101484,NA,"6/17/09","4/29/11","6/17/09","12/8/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"356","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",42081,NA,"6/23/09","4/29/11","6/23/09","7/31/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"357","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",47232.9,NA,"7/7/09","4/29/11","7/7/09","7/14/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"358","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",109917.72,NA,"7/9/09","4/29/11","7/9/09","9/16/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATION, TRAINING AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"359","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",193640.72,NA,"8/5/09","12/19/13","8/5/09","10/5/09","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"360","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",2107242.3,NA,"8/6/09","4/13/11","8/6/09","10/9/09","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"361","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",53055.08,NA,"8/7/09","11/2/12","8/7/09","11/2/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"362","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",36713.7,NA,"8/7/09","4/15/11","8/7/09","10/9/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR OPERATIONS, TRAINING, AND QUALIFICATIONS."
"363","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",74948.54,NA,"8/17/09","10/19/11","8/17/09","10/19/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, DISTRIBUTION LIST TO BE PROVIDED UPON LOT SAMPLE APPROVAL."
"364","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",412880,NA,"8/20/09","11/7/12","8/20/09","11/7/12","MINNESOTA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"365","NOMAD TECHNOLOGIES INC","INSTALL OF MISC EQ",5500,NA,"2/11/09","7/5/11","2/11/09","2/20/09","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","TRAINING INFRASTRUCTURE FOR ICE ACADEMY, BLDG 210, E-26"
"366","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",43219.2,NA,"2/17/09","11/7/11","2/17/09","4/9/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"367","LAW ENFORCEMENT TARGETS, INC","PRINTING,DUPLICATING & BOOKBIND EQ",6546,NA,"4/8/09","5/25/11","4/8/09","5/18/11","PENNSYLVANIA","SPORTING AND ATHLETIC GOODS MANUFACTURING","PLEASE SEE ENCLOSED SAMPLE, VENDOR QUOTES AND OTHER ATTACHMENTS."
"368","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",5200,NA,"4/21/09","11/4/11","4/21/09","9/16/09","PENNSYLVANIA","OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","AMMUNITION NEEDED FOR TESTING (BALLISTIC LAB)"
"369","DPMS FIREARMS, LLC","SAFETY AND RESCUE EQUIPMENT",8454.66,NA,"7/1/09","10/19/11","7/1/09","10/21/11","PENNSYLVANIA","SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING","ITEMS NEEDED TO REPAIR FIREARMS"
"370","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",7973.6,NA,"6/23/09","4/13/11","6/23/09","7/22/09","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"371","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",43324.64,NA,"7/22/09","4/13/11","7/22/09","2/10/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"372","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",10086.8,NA,"7/17/09","4/13/11","7/17/09","4/9/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR TRAINING FOR BP"
"373","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",88200,NA,"7/23/09","4/13/11","7/23/09","8/29/09","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"374","CENTRAL PARKING SYSTEM INC","LEASE-RENT OF PARKING FACILITIES",2142,NA,"7/28/09","12/3/12","7/28/09","9/30/09","MINNESOTA","PARKING LOTS AND GARAGES","PARKING SPACES FOR GOVERNMENT VEHICLES."
"375","NECO NOSTALGIA ENTERPRISES CO INC","ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS",76026,NA,"9/24/09","9/21/12","9/24/09","12/4/09","MINNESOTA","INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES","REPLACEMENT OF BALLISTIC LABORATORY CHRONOGRAPH AND OPTICAL TARGET PLOTTER."
"376","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",51807.36,51807.36,"5/3/10","1/29/13","5/3/10","6/30/10","TEXAS","PERIODICAL PUBLISHERS","BOOKS"
"377","CRESCENT PRODUCTS, INC.","ATHLETIC AND SPORTING EQUIPMENT",5884,NA,"8/18/10","12/19/12","8/18/10","12/19/12","MINNESOTA","SPORTING AND ATHLETIC GOODS MANUFACTURING","GRAPPLING MATS."
"378","POLARIS SALES INC","MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES",68667.7,NA,"8/28/10","12/7/16","8/28/10","10/27/10","MINNESOTA","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","SUPPLY OF ATVS."
"379","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",45911,45911,"9/1/10","10/5/12","9/1/10","10/5/12","GEORGIA","PERIODICAL PUBLISHERS","TO PURCHASE 2 LAW BOOKS THROUGH THOMSON WEST FOR TRAINING AT FLETC."
"380","STREICHERS INC","INDIVIDUAL EQUIPMENT",33343.8,NA,"9/21/10","2/5/13","9/21/10","2/5/13","MINNESOTA","HAND AND EDGE TOOL MANUFACTURING","PURCHASE OF AUTHORIZED RESTRAINT DEVICES (HANDCUFFS)."
"381","LJK COMPANIES, LLC","TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER",0,NA,"9/22/10","3/23/12","9/22/10","9/21/11","LOUISIANA","ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES","EMERGENCY LODGING ACCOMMODATIONS IN SUPPORT OF EMERGENCY AND/OR DISASTER."
"382","WEST PUBLISHING CORPORATION","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",9e+05,NA,"9/29/09","12/27/16","10/1/09","3/31/10","DISTRICT OF COLUMBIA","CREDIT BUREAUS","ACCESS TO USER ONLINE SUBSCRIPTION TO PUBLIC RECORD INFORMATION DATABASES (CHOICEPOINT/AUTOTRACK) INCLUDING ONGOING TRAINING AND SUPPORT."
"383","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",697967.2,NA,"11/12/09","5/31/17","11/12/09","12/18/09","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"384","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",653117.4,NA,"1/19/10","12/21/11","1/19/10","3/15/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  PLEASE SEE ATTACHED DISTRIBUTION LIST."
"385","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",50292.24,NA,"1/19/10","12/14/11","1/19/10","3/19/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  PLEASE SEE ATTACHED DISTRIBUTION LIST."
"386","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",3650.88,NA,"3/2/10","12/21/11","3/2/10","4/15/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS. DISTRIBUTION LISTS WILL BE SUPPLIED UPON ACCEPTANCE OF LOT SAMPLE."
"387","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",1082065.92,NA,"3/10/10","4/24/12","3/10/10","4/24/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS. DISTRIBUTION LISTS WILL BE SUPPLIED UPON ACCEPTANCE OF LOT SAMPLE."
"388","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",266105.32,NA,"3/3/10","12/21/11","3/3/10","4/30/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS. DISTRIBUTION LISTS WILL BE SUPPLIED UPON ACCEPTANCE OF LOT SAMPLE."
"389","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",15841.44,NA,"3/12/10","12/13/11","3/12/10","6/30/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS. CONTRACT # HSFLGL-09-D-00013 AUTHORIZATION # HSFLGL10DJ1360"
"390","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",85910.24,NA,"4/1/10","12/20/11","4/1/10","5/3/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR TRAINING, QUALIFICATIONS, AND OPERATIONS. DISTRIBUTION LIST WILL BE SUPPLIED UPON ACCEPTANCE OF LOT SAMPLE."
"391","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",701424.9,NA,"4/7/10","11/30/12","4/7/10","12/3/12","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR TRAINING, QUALIFICATIONS, AND OPERATIONS. DISTRIBUTION LISTS WILL BE SUPPLIED UPON ACCEPTANCE OF LOT SAMPLE."
"392","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",23961,NA,"5/17/10","5/31/17","5/17/10","9/9/12","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING,  AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"393","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",2710150.28,NA,"5/20/10","5/31/17","5/20/10","5/4/13","MINNESOTA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"394","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",4613.44,NA,"5/19/10","12/13/11","5/19/10","6/21/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR TRAINING, OPERATIONS AND QUALIFICATIONS."
"395","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",2231144.04,2231144.04,"6/2/10","4/17/23","6/2/10","12/31/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"396","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",452411,NA,"6/3/10","11/30/12","6/3/10","12/3/12","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"397","FEDERAL CARTRIDGE COMPANY","AMMUNITION, OVER 30MM UP TO 75MM",1228084,NA,"6/4/10","8/1/12","6/17/10","8/9/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS TRAINING, AND OPERATIONS.  DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"398","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",2429234.95,NA,"7/19/10","4/15/14","7/19/10","1/15/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS.  DISTRIBUTION LIST WILL BE SUPPLIED UPON ACCEPTANCE OF LOT SAMPLE."
"399","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",14727.52,NA,"6/22/10","12/21/11","6/22/10","7/22/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS."
"400","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",6502.8,NA,"6/30/10","5/31/17","6/30/10","9/30/10","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS. DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"401","FEDERAL CARTRIDGE COMPANY","AMMUNITION, OVER 30MM UP TO 75MM",162235.98,NA,"7/7/10","5/31/17","7/7/10","1/24/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","LATE PALT - ACCEPTED AMMUNITION NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS. DISTRIBUTION LIST TO BE PROVIDED UPON LOT TEST SAMPLE APPROVAL."
"402","FEDERAL CARTRIDGE COMPANY","AMMUNITION, OVER 30MM UP TO 75MM",8719.48,NA,"7/12/10","12/21/11","7/12/10","8/16/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS.  12GA 00BUCK REDUCED RECOIL AMMO FOR CBP"
"403","QUALIFICATION TARGETS INC","SAFETY AND RESCUE EQUIPMENT",15588.75,NA,"7/29/10","5/31/17","7/29/10","8/29/10","MINNESOTA","SPORTING AND ATHLETIC GOODS MANUFACTURING","TARGETS NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS"
"404","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",0,NA,"8/5/10","5/31/17","8/5/10","3/12/12","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATION, TRAINING AND OPERATIONS."
"405","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",93066,NA,"8/19/10","5/31/17","8/19/10","11/9/10","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR TRAINING AND QUALIFICATION"
"406","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",8872,NA,"2/4/10","12/9/11","2/4/10","3/1/10","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR QUALIFICATIONS, TRAINING, AND OPERATIONS."
"407","WECSYS LLC","SAFETY AND RESCUE EQUIPMENT",5073.11,NA,"4/5/10","12/9/11","4/5/10","5/7/10","PENNSYLVANIA","HARDWARE MERCHANT WHOLESALERS","ITEM NEEDED FOR FIELD ISSUE"
"408","HILTON HOTELS CORPORATION","LEASE-RENT OF CONF SPACE & FAC",52526,NA,"5/21/10","1/29/13","5/21/10","6/10/10","MINNESOTA","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","LEASE OF CONFERENCE FACILITIES"
"409","BEST BUY GOV, LLC","HOUSEHOLD FURNITURE",5193.98,NA,"6/11/10","5/31/17","6/11/10","7/30/10","MINNESOTA","","TELEVISIONS"
"410","LAW ENFORCEMENT TARGETS, INC","HAND TOOLS, POWER DRIVEN",4307.09,NA,"6/23/10","5/31/17","6/23/10","8/2/10","NEW YORK","","P.O. FOR HYDRA RAM 1 - DOOR OPENER KIT. THE ITEM NEEDED FOR OPERATIONAL PURPOSES FOR THE SAC/NY VIOLENT GANG UNIT'S OPERATION COMMUNITY SHIELD PROGRAM, WHICH INCLUDES ICE SURGE 2010.SEE ATTACHED 3 QUOTES"
"411","WELLS FARGO BANK, NATIONAL ASSOCIATION","TELEPHONE AND-OR COMMUNICATIONS SER",0,NA,"7/27/10","5/31/17","7/27/10","9/7/10","ARIZONA","ALL OTHER LEGAL SERVICES","SUBPOENA SERVICES"
"412","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",86322.38,NA,"8/19/10","1/3/12","8/19/10","1/19/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TO SUPPORT INCREASED CBP ENFORCEMENT ACTIVITIES."
"413","3M COMPANY","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",5353.32,NA,"8/20/10","5/31/17","8/20/10","10/4/10","VIRGINIA","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","PASSPORT READER"
"414","STREICHERS INC","SAFETY AND RESCUE EQUIPMENT",3048.8,NA,"9/28/10","12/9/11","9/28/10","11/4/10","MINNESOTA","ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)","PORTABLE FINGERPRINT STATION FOR FIELD AGENTS"
"415","WEST PUBLISHING CORPORATION","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",9848302.57,NA,"9/14/10","11/1/16","9/14/10","9/30/15","MINNESOTA","CREDIT BUREAUS","ACCESS TO USER ONLINE SUBSCRIPTION TO PUBLIC RECORD INFORMATION DATABASES (CLEAR/THOMSON REUTERS) INCLUDING ONGOING TRAINING AND SUPPORT."
"416","LJK COMPANIES, LLC","TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER",0,NA,"7/26/11","12/21/16","7/26/11","9/21/16","MINNESOTA","ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES","EMERGENCY LODGING ACCOMMODATIONS IN SUPPORT OF EMERGENCY AND/OR DISASTER. NLT 07/25/11"
"417","RECONROBOTICS, INC","MISCELLANEOUS COMMUNICATION EQUIPMENT",19740.97,19740.97,"8/3/11","3/18/22","8/3/11","10/1/11","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","RECON ROBOT TO INCREASE OFFICER SAFETY FOR SRT TEAM"
"418","FOX RIVER GRAPHICS LLC","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",3367,3367,"8/8/11","4/28/20","8/8/11","8/13/11","ILLINOIS","OTHER COMPUTER RELATED SERVICES","3 EA40"" LCD TV - WIDESCREEN - 1080P AND 2 EA 46"" BRAVIA LCD TV-WIDESCREEN - 1080P (FULLHD)"
"419","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",12704.58,12704.58,"9/9/11","4/18/23","9/9/11","10/21/11","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","FUNDS GIVEN FROM HEADQUARTERS FOR SRT EQUIPMENT TO FURTHER THE SAFETY OF THE AGENTS."
"420","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",12704.58,12704.58,"9/19/11","5/31/17","9/19/11","12/19/11","ILLINOIS","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","EQUIPMENT TO PROVIDE IMMEDIATE VIDEO SURVEILLANCE TO SRT PERSONNEL IN HOSTILE ENVIRONMENTS GREATLY ENHANCING OFFICER SAFETY. DELIVER TO: DHS/ICE 1 TOWER LANE, #1600, OAKBROOK TERRACE, IL 60181"
"421","RIMAGE CORPORATION","VIDEO RECORDING AND REPRODUCING EQUIPMENT",2360200,2360200,"9/28/11","6/11/21","9/28/11","11/1/11","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","REQUIRED FOR INVESTIGATIVE INTERCEPT PROGRAMS. SEE ATTACHED QUOTE. WILL NOT TOUCH THE ICE LAN OR CONNECT TO THE DHS NETWORK. FOR ELECTRONIC SURVEILLANCE PURPOSES ONLY."
"422","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",60006,60006,"11/10/10","3/11/22","11/10/10","1/5/11","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","TO PURCHASE 200,000 ROUNDS OF 40 S&W, 125 GRAIN IN ACCORDANCE WITH CONTRACT # HSFLGL-09-D-0009"
